SampleID,Project,Amplicon,CollectionDate,SampleType,Pre_or_PostDentalChew,DogAgeMonths,OtherDogVariables,DogGender,DogBreed,DogSize,DogActivityLevel,DogDisposition,DogFixed,DogHealthProblems,DogHealthHistory,DogVaccinationsCurrent,DogFoodBrand,DogOralIssues,DogDentalChewUse,DogOtherAnimals,DogOtherAnimalType,DogCollectionCity
DM035-1,DogMouth,16S,2019-07-07,Sample,Post,24,,F,AMERICAN_STAFFORDSHIRE_TERRIER_DACHSHUND,S,Moderate,Hyper,Y,N,NA,Y,Simply_Nourish,N,Y,Y,Dogs,Lehi
DM034-1,DogMouth,16S,2019-07-01,Sample,Pre,24,,F,AMERICAN_STAFFORDSHIRE_TERRIER_DACHSHUND,S,Moderate,Hyper,Y,N,NA,Y,Simply_Nourish,N,Y,Y,Dogs,Lehi
DM029-2,DogMouth,16S,2019-06-12,Sample,Post,60,,M,DACHSHUND,S,Moderate,Calm,Y,Y,Heart_Murmur_Alopecia,Y,Simply_Nourish,Yes,Yes,Y,Dogs,Lehi
DM029-1,DogMouth,16S,2019-06-06,Sample,Pre,60,,M,DACHSHUND,S,Moderate,Calm,Y,Y,Heart_Murmur_Alopecia,Y,Simply_Nourish,Yes,Yes,Y,Dogs,Lehi
DM027-1,DogMouth,16S,2019-06-28,Sample,Post,108,,F,SHIH_TZU,M,Sedentary,Calm,Y,N,NA,Y,Merrick,N,N,Y,Dogs,Wallsburg
DM025-2,DogMouth,16S,2019-06-22,Sample,Pre,108,,F,SHIH_TZU,M,Sedentary,Calm,Y,N,NA,Y,Merrick,N,N,Y,Dogs,Wallsburg
DM025-1,DogMouth,16S,2019-06-18,Sample,Post,36,,F,CHIHUAHUA_MINIATURE_PINSCHER,M,Extremely_Active,Hyper,N,N,NA,Unknown,Purina,N,N,Y,Dog,Lindon
DM023-2,DogMouth,16S,2019-06-12,Sample,Pre,36,,F,CHIHUAHUA_MINIATURE_PINSCHER,M,Extremely_Active,Hyper,N,N,NA,Unknown,Purina,N,N,Y,Dog,Lindon
DM023-1,DogMouth,16S,2019-07-11,Sample,Post,6,,M,DACHSHUND,M,Light,Calm,N,N,NA,Unknown,Purina,N,N,Y,Dog,Spanish_Fork
DM022-2,DogMouth,16S,2019-07-05,Sample,Pre,6,,M,DACHSHUND,M,Light,Calm,N,N,NA,Unknown,Purina,N,N,Y,Dog,Spanish_Fork
DM021-2,DogMouth,16S,2019-06-25,Sample,Post,144,,F,DACHSHUND,M,Light,Calm,Y,Y,Heart_Murmur,Y,Kirkland_ Natures_Domain,Y,N,Y,Dogs,Eagle_Mountain
DM021-1,DogMouth,16S,2019-06-19,Sample,Pre,144,,F,DACHSHUND,M,Light,Calm,Y,Y,Heart_Murmur,Y,Kirkland_ Natures_Domain,Y,N,Y,Dogs,Eagle_Mountain
DM020-2,DogMouth,16S,2019-06-19,Sample,Post,48,,F,CHIHUAHUA_DACHSHUND,M,Moderate,Friendly,Y,N,NA,Y,Kirkland,N,Y,Y,Dog,Spanish_Fork
